model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
acoustic_gop_phone_nb,target_phone,AA,vowel,AA,0.05,92,0.934783,0.292754,0
acoustic_gop_phone_nb,target_phone,AE,vowel,AE,0.05,265,0.935849,0.240997,0
acoustic_gop_phone_nb,target_phone,AH,vowel,AH,0.05,827,0.949214,0.122824,0
acoustic_gop_phone_nb,target_phone,AO,vowel,AO,0.05,142,0.908451,0.161598,0
acoustic_gop_phone_nb,target_phone,AW,vowel,AW,0.05,57,0.912281,0.241881,0
acoustic_gop_phone_nb,target_phone,AY,vowel,AY,0.05,203,0.935961,0.175339,0
acoustic_gop_phone_nb,target_phone,B,stop,B,0.05,155,0.980645,0.48946,0
acoustic_gop_phone_nb,target_phone,CH,affricate,CH,0.05,25,1.0,0.242424,1
acoustic_gop_phone_nb,target_phone,D,stop,D,0.05,314,0.952229,0.105014,0
acoustic_gop_phone_nb,target_phone,DH,fricative,DH,0.05,294,0.962585,0.067984,0
acoustic_gop_phone_nb,target_phone,EH,vowel,EH,0.05,225,0.897778,0.347213,0
acoustic_gop_phone_nb,target_phone,ER,vowel,ER,0.05,130,0.907692,0.09351,0
acoustic_gop_phone_nb,target_phone,EY,vowel,EY,0.05,169,0.91716,0.12908,0
acoustic_gop_phone_nb,target_phone,F,fricative,F,0.05,156,0.980769,0.205818,0
acoustic_gop_phone_nb,target_phone,G,stop,G,0.05,121,0.975207,0.126264,0
acoustic_gop_phone_nb,target_phone,HH,fricative,HH,0.05,178,0.994382,0.093802,0
acoustic_gop_phone_nb,target_phone,IH,vowel,IH,0.05,538,0.927509,0.166872,0
acoustic_gop_phone_nb,target_phone,IY,vowel,IY,0.05,360,0.952778,0.05113,0
acoustic_gop_phone_nb,target_phone,JH,affricate,JH,0.05,36,0.972222,0.345455,0
acoustic_gop_phone_nb,target_phone,K,stop,K,0.05,252,0.972222,0.295319,0
acoustic_gop_phone_nb,target_phone,L,liquid,L,0.05,347,0.965418,0.042584,0
acoustic_gop_phone_nb,target_phone,M,nasal,M,0.05,295,0.966102,0.365627,0
acoustic_gop_phone_nb,target_phone,N,nasal,N,0.05,586,0.960751,0.122711,0
acoustic_gop_phone_nb,target_phone,NG,nasal,NG,0.05,102,0.941176,0.199651,0
acoustic_gop_phone_nb,target_phone,OW,vowel,OW,0.05,166,0.963855,0.066231,0
acoustic_gop_phone_nb,target_phone,OY,vowel,OY,0.05,8,0.875,0.428571,1
acoustic_gop_phone_nb,target_phone,P,stop,P,0.05,101,0.930693,0.164303,0
acoustic_gop_phone_nb,target_phone,R,liquid,R,0.05,254,0.940945,0.055762,0
acoustic_gop_phone_nb,target_phone,S,fricative,S,0.05,376,0.981383,0.362352,0
acoustic_gop_phone_nb,target_phone,SH,fricative,SH,0.05,48,0.9375,0.472527,0
acoustic_gop_phone_nb,target_phone,T,stop,T,0.05,733,0.960437,0.143027,0
acoustic_gop_phone_nb,target_phone,TH,fricative,TH,0.05,52,0.846154,0.22619,0
acoustic_gop_phone_nb,target_phone,UH,vowel,UH,0.05,99,0.89899,0.191176,0
acoustic_gop_phone_nb,target_phone,UW,vowel,UW,0.05,271,0.96679,0.115721,0
acoustic_gop_phone_nb,target_phone,V,fricative,V,0.05,142,0.971831,0.116168,0
acoustic_gop_phone_nb,target_phone,W,glide,W,0.05,311,0.967846,0.130698,0
acoustic_gop_phone_nb,target_phone,Y,glide,Y,0.05,127,0.992126,0.060896,0
acoustic_gop_phone_nb,target_phone,Z,fricative,Z,0.05,231,0.943723,0.211544,0
