rank,split,model,calibration,n_samples,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp,source_file
1,dev,teacher_score_rule,teacher_score_threshold,13766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1041,0,0,12725,reports\combined_teacher_score_rule_metrics.csv
2,dev,acceptance_error_extra_trees,plan_phone_group_threshold,13766,0.81912,0.723991,0.963416,0.836071,0.616854,0.233933,0.611912,0.33847,0.814846,637,404,2086,10639,reports\combined_acceptance_error_fusion_metrics.csv
3,dev,acceptance_error_sgd,plan_phone_group_threshold,13766,0.884207,0.661733,0.949519,0.923851,0.63973,0.300361,0.399616,0.342951,0.770848,416,625,969,11756,reports\combined_acceptance_error_fusion_metrics.csv
4,dev,feature_random_forest,global_threshold,13766,0.659887,0.650651,0.957352,0.661532,0.501949,0.133923,0.639769,0.221483,0.708611,666,375,4307,8418,reports\combined_feature_baseline_metrics.csv
5,dev,acceptance_error_extra_trees,plan_global_threshold,13766,0.913119,0.649147,0.946618,0.960157,0.661933,0.409779,0.338136,0.370526,0.814846,352,689,507,12218,reports\combined_acceptance_error_fusion_metrics.csv
6,dev,feature_logreg,global_threshold,13766,0.601337,0.645001,0.959842,0.593556,0.471254,0.122944,0.696446,0.208994,0.705447,725,316,5172,7553,reports\combined_feature_baseline_metrics.csv
7,dev,acceptance_error_sgd,plan_global_threshold,13766,0.896194,0.638228,0.945356,0.942161,0.635643,0.321033,0.334294,0.327529,0.770848,348,693,736,11989,reports\combined_acceptance_error_fusion_metrics.csv
8,dev,fusion_random_forest,fusion_global_threshold,13766,0.892852,0.635538,0.945016,0.938703,0.630592,0.307282,0.332373,0.319335,0.763325,346,695,780,11945,reports\combined_fusion_model_metrics.csv
9,dev,enhanced_hist_gradient_boosting,enhanced_global_threshold,13766,0.907163,0.631812,0.944061,0.956228,0.641893,0.36488,0.307397,0.333681,0.743972,320,721,557,12168,reports\combined_enhanced_model_metrics.csv
10,dev,feature_random_forest,target_phone_threshold,13766,0.885733,0.622426,0.943102,0.932652,0.615123,0.274958,0.3122,0.292398,0.708612,325,716,857,11868,reports\combined_proxy_gop_metrics.csv
11,dev,feature_logreg,target_phone_threshold,13766,0.888421,0.615942,0.942008,0.936974,0.612533,0.276826,0.294909,0.285581,0.705447,307,734,802,11923,reports\combined_proxy_gop_metrics.csv
12,dev,feature_random_forest,phone_group_threshold,13766,0.878832,0.615606,0.942174,0.925737,0.604962,0.251781,0.305476,0.276042,0.708612,318,723,945,11780,reports\combined_proxy_gop_metrics.csv
13,dev,enhanced_extra_trees,enhanced_global_threshold,13766,0.904838,0.61556,0.941586,0.956385,0.62643,0.340071,0.274736,0.303932,0.765609,286,755,555,12170,reports\combined_enhanced_model_metrics.csv
14,dev,fusion_logreg,fusion_global_threshold,13766,0.895031,0.612902,0.941384,0.945305,0.615583,0.295547,0.2805,0.287827,0.757673,292,749,696,12029,reports\combined_fusion_model_metrics.csv
15,dev,ssl_phone_logreg,ssl_global_threshold,13766,0.83946,0.597397,0.940069,0.882593,0.568849,0.17867,0.3122,0.227273,0.727847,325,716,1494,11231,reports\combined_ssl_phone_classifier_metrics.csv
16,dev,feature_logreg,phone_group_threshold,13766,0.874982,0.589709,0.938127,0.925815,0.583351,0.218543,0.253602,0.234771,0.705447,264,777,944,11781,reports\combined_proxy_gop_metrics.csv
17,dev,acoustic_gop_phone_nb,phone_group_threshold,8788,0.18878,0.557079,0.988189,0.149958,0.181101,0.053738,0.9642,0.101802,0.576725,404,15,7114,1255,reports\acoustic_gop_metrics.csv
18,dev,acoustic_gop_phone_nb,target_phone_threshold,8788,0.18878,0.557079,0.988189,0.149958,0.181101,0.053738,0.9642,0.101802,0.576725,404,15,7114,1255,reports\acoustic_gop_metrics.csv
19,dev,majority_class,majority_class,13766,0.924379,0.5,0.924379,1.0,0.480352,0.0,0.0,0.0,0.5,0,1041,0,12725,reports\combined_majority_baseline_metrics.csv
1,test,teacher_score_rule,teacher_score_threshold,50488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2514,0,0,47974,reports\combined_teacher_score_rule_metrics.csv
2,test,acceptance_error_extra_trees,plan_phone_group_threshold,50488,0.88829,0.664365,0.967552,0.913057,0.604945,0.200345,0.415672,0.270375,0.787562,1045,1469,4171,43803,reports\combined_acceptance_error_fusion_metrics.csv
3,test,feature_random_forest,global_threshold,50488,0.685133,0.620598,0.966982,0.692271,0.47741,0.085486,0.548926,0.147934,0.667458,1380,1134,14763,33211,reports\combined_feature_baseline_metrics.csv
4,test,feature_logreg,global_threshold,50488,0.622366,0.609243,0.967072,0.623817,0.446989,0.076502,0.59467,0.135564,0.650691,1495,1019,18047,29927,reports\combined_feature_baseline_metrics.csv
5,test,ssl_phone_logreg,ssl_global_threshold,50488,0.899026,0.607632,0.96127,0.931254,0.582421,0.177966,0.28401,0.218817,0.744855,714,1800,3298,44676,reports\combined_ssl_phone_classifier_metrics.csv
6,test,enhanced_hist_gradient_boosting,enhanced_global_threshold,50488,0.912058,0.599601,0.960268,0.946617,0.587905,0.198686,0.252586,0.222417,0.728368,635,1879,2561,45413,reports\combined_enhanced_model_metrics.csv
7,test,fusion_logreg,fusion_global_threshold,50488,0.92422,0.599216,0.960086,0.960166,0.599291,0.238645,0.238266,0.238455,0.747509,599,1915,1911,46063,reports\combined_fusion_model_metrics.csv
8,test,enhanced_extra_trees,enhanced_global_threshold,50488,0.925527,0.595192,0.959662,0.962063,0.597382,0.239766,0.228321,0.233904,0.714372,574,1940,1820,46154,reports\combined_enhanced_model_metrics.csv
9,test,acceptance_error_sgd,plan_phone_group_threshold,50488,0.913504,0.593766,0.95965,0.948868,0.584892,0.196528,0.238663,0.215556,0.704907,600,1914,2453,45521,reports\combined_acceptance_error_fusion_metrics.csv
10,test,acceptance_error_sgd,plan_global_threshold,50488,0.928637,0.580809,0.958179,0.967107,0.588057,0.236575,0.194511,0.213491,0.704907,489,2025,1578,46396,reports\combined_acceptance_error_fusion_metrics.csv
11,test,acceptance_error_extra_trees,plan_global_threshold,50488,0.946264,0.567846,0.956748,0.988119,0.593471,0.394261,0.147574,0.214761,0.787562,371,2143,570,47404,reports\combined_acceptance_error_fusion_metrics.csv
12,test,feature_random_forest,phone_group_threshold,50488,0.904215,0.567016,0.95699,0.94151,0.557984,0.147112,0.192522,0.166782,0.667459,484,2030,2806,45168,reports\combined_proxy_gop_metrics.csv
13,test,fusion_random_forest,fusion_global_threshold,50488,0.940877,0.561996,0.956213,0.982782,0.580734,0.300593,0.141209,0.192152,0.75026,355,2159,826,47148,reports\combined_fusion_model_metrics.csv
14,test,feature_random_forest,target_phone_threshold,50488,0.902591,0.556361,0.955909,0.940885,0.548883,0.132191,0.171838,0.149429,0.667459,432,2082,2836,45138,reports\combined_proxy_gop_metrics.csv
15,test,feature_logreg,phone_group_threshold,50488,0.911999,0.550381,0.95524,0.951995,0.548855,0.139709,0.148767,0.144096,0.650691,374,2140,2303,45671,reports\combined_proxy_gop_metrics.csv
16,test,feature_logreg,target_phone_threshold,50488,0.918674,0.54692,0.954855,0.959791,0.54916,0.14872,0.134049,0.141004,0.650691,337,2177,1929,46045,reports\combined_proxy_gop_metrics.csv
17,test,acoustic_gop_phone_nb,phone_group_threshold,45471,0.169559,0.539829,0.982784,0.13732,0.162142,0.043584,0.942339,0.083315,0.564236,1716,105,37656,5994,reports\acoustic_gop_metrics.csv
18,test,acoustic_gop_phone_nb,target_phone_threshold,45471,0.169559,0.539829,0.982784,0.13732,0.162142,0.043584,0.942339,0.083315,0.564236,1716,105,37656,5994,reports\acoustic_gop_metrics.csv
19,test,majority_class,majority_class,50488,0.950206,0.5,0.950206,1.0,0.487234,0.0,0.0,0.0,0.5,0,2514,0,47974,reports\combined_majority_baseline_metrics.csv
