split,model,calibration,evaluation_scope,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp,meets_min_precision,meets_min_recall,meets_plan_minimum
dev,feature_logreg,phone_group_threshold_plan_threshold,overall,13766,0.924379,0.2,0.921255,0.551232,0.931692,0.987191,0.569954,0.424028,0.115274,0.181269,0.705447,120,921,163,12562,1,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,overall,50488,0.950206,0.2,0.94674,0.528519,0.952932,0.992996,0.539746,0.323944,0.064041,0.106941,0.650691,161,2353,336,47638,0,0,0
dev,feature_logreg,phone_group_threshold_plan_threshold,core_vowels,5496,0.930131,0.1,0.930313,0.501302,0.9303,1.0,0.484543,1.0,0.002604,0.005195,0.580432,1,383,0,5112,1,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,core_vowels,20409,0.94473,0.1,0.94473,0.5,0.94473,1.0,0.48579,0.0,0.0,0.0,0.620252,0,1128,0,19281,0,0,0
dev,feature_logreg,phone_group_threshold_plan_threshold,core_liquids,1002,0.891218,0.24,0.852295,0.534545,0.898396,0.940649,0.539064,0.208955,0.12844,0.159091,0.545409,14,95,53,840,0,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,core_liquids,3407,0.930731,0.24,0.914881,0.518939,0.933233,0.978556,0.521704,0.170732,0.059322,0.08805,0.592014,14,222,68,3103,0,0,0
dev,feature_logreg,phone_group_threshold_plan_threshold,core_fricatives,2434,0.8788,0.25163,0.852917,0.679608,0.92304,0.908368,0.670964,0.404255,0.450847,0.426282,0.826873,133,162,196,1943,1,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,core_fricatives,8957,0.941498,0.25163,0.880317,0.584741,0.951761,0.919483,0.565873,0.161728,0.25,0.196402,0.664128,131,393,679,7754,0,0,0
dev,feature_logreg,phone_group_threshold_plan_threshold,core_stops,2563,0.966446,0.23,0.965665,0.516433,0.967515,0.997981,0.523171,0.375,0.034884,0.06383,0.592199,3,83,5,2472,0,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,core_stops,9512,0.970984,0.23,0.969933,0.499459,0.970953,0.998917,0.492368,0.0,0.0,0.0,0.60869,0,276,10,9226,0,0,0
dev,feature_logreg,phone_group_threshold_plan_threshold,core_nasals,1502,0.923435,0.391032,0.879494,0.540005,0.929487,0.94088,0.542692,0.163265,0.13913,0.150235,0.626965,16,99,82,1305,0,0,0
test,feature_logreg,phone_group_threshold_plan_threshold,core_nasals,5443,0.959581,0.391032,0.934044,0.514994,0.960781,0.970898,0.516673,0.078788,0.059091,0.067532,0.558671,13,207,152,5071,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,overall,13766,0.924379,0.2,0.921255,0.551232,0.931692,0.987191,0.569954,0.424028,0.115274,0.181269,0.705447,120,921,163,12562,1,0,0
test,feature_logreg,score_threshold_plan_threshold,overall,50488,0.950206,0.2,0.94674,0.528519,0.952932,0.992996,0.539746,0.323944,0.064041,0.106941,0.650691,161,2353,336,47638,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,core_vowels,5496,0.930131,0.1,0.930313,0.501302,0.9303,1.0,0.484543,1.0,0.002604,0.005195,0.580432,1,383,0,5112,1,0,0
test,feature_logreg,score_threshold_plan_threshold,core_vowels,20409,0.94473,0.1,0.94473,0.5,0.94473,1.0,0.48579,0.0,0.0,0.0,0.620252,0,1128,0,19281,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,core_liquids,1002,0.891218,0.24,0.852295,0.534545,0.898396,0.940649,0.539064,0.208955,0.12844,0.159091,0.545409,14,95,53,840,0,0,0
test,feature_logreg,score_threshold_plan_threshold,core_liquids,3407,0.930731,0.24,0.914881,0.518939,0.933233,0.978556,0.521704,0.170732,0.059322,0.08805,0.592014,14,222,68,3103,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,core_fricatives,2434,0.8788,0.25163,0.852917,0.679608,0.92304,0.908368,0.670964,0.404255,0.450847,0.426282,0.826873,133,162,196,1943,1,0,0
test,feature_logreg,score_threshold_plan_threshold,core_fricatives,8957,0.941498,0.25163,0.880317,0.584741,0.951761,0.919483,0.565873,0.161728,0.25,0.196402,0.664128,131,393,679,7754,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,core_stops,2563,0.966446,0.23,0.965665,0.516433,0.967515,0.997981,0.523171,0.375,0.034884,0.06383,0.592199,3,83,5,2472,0,0,0
test,feature_logreg,score_threshold_plan_threshold,core_stops,9512,0.970984,0.23,0.969933,0.499459,0.970953,0.998917,0.492368,0.0,0.0,0.0,0.60869,0,276,10,9226,0,0,0
dev,feature_logreg,score_threshold_plan_threshold,core_nasals,1502,0.923435,0.391032,0.879494,0.540005,0.929487,0.94088,0.542692,0.163265,0.13913,0.150235,0.626965,16,99,82,1305,0,0,0
test,feature_logreg,score_threshold_plan_threshold,core_nasals,5443,0.959581,0.391032,0.934044,0.514994,0.960781,0.970898,0.516673,0.078788,0.059091,0.067532,0.558671,13,207,152,5071,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,overall,13766,0.924379,0.2,0.921255,0.551232,0.931692,0.987191,0.569954,0.424028,0.115274,0.181269,0.705447,120,921,163,12562,1,0,0
test,feature_logreg,target_phone_threshold_plan_threshold,overall,50488,0.950206,0.2,0.94674,0.528519,0.952932,0.992996,0.539746,0.323944,0.064041,0.106941,0.650691,161,2353,336,47638,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,core_vowels,5496,0.930131,0.1,0.930313,0.501302,0.9303,1.0,0.484543,1.0,0.002604,0.005195,0.580432,1,383,0,5112,1,0,0
test,feature_logreg,target_phone_threshold_plan_threshold,core_vowels,20409,0.94473,0.1,0.94473,0.5,0.94473,1.0,0.48579,0.0,0.0,0.0,0.620252,0,1128,0,19281,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,core_liquids,1002,0.891218,0.24,0.852295,0.534545,0.898396,0.940649,0.539064,0.208955,0.12844,0.159091,0.545409,14,95,53,840,0,0,0
test,feature_logreg,target_phone_threshold_plan_threshold,core_liquids,3407,0.930731,0.24,0.914881,0.518939,0.933233,0.978556,0.521704,0.170732,0.059322,0.08805,0.592014,14,222,68,3103,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,core_fricatives,2434,0.8788,0.25163,0.852917,0.679608,0.92304,0.908368,0.670964,0.404255,0.450847,0.426282,0.826873,133,162,196,1943,1,0,0
