model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
feature_logreg,phone_group,affricate,affricate,,0.17,118,0.974576,0.657971,0
feature_logreg,phone_group,fricative,fricative,,0.25,2434,0.8788,0.669622,0
feature_logreg,phone_group,glide,glide,,0.62,620,0.970968,0.517667,0
feature_logreg,phone_group,liquid,liquid,,0.27,1002,0.891218,0.547101,0
feature_logreg,phone_group,nasal,nasal,,0.43,1502,0.923435,0.549348,0
feature_logreg,phone_group,silence,silence,,0.27,31,0.0,0.597175,1
feature_logreg,phone_group,stop,stop,,0.29,2563,0.966446,0.543283,0
feature_logreg,phone_group,vowel,vowel,,0.33,5496,0.930131,0.51375,0
feature_logreg,target_phone,AA,vowel,AA,0.39,152,0.901316,0.647223,0
feature_logreg,target_phone,AE,vowel,AE,0.47,414,0.94686,0.499613,0
feature_logreg,target_phone,AH,vowel,AH,0.33,1290,0.941085,0.514069,0
feature_logreg,target_phone,AO,vowel,AO,0.36,225,0.928889,0.539274,0
feature_logreg,target_phone,AW,vowel,AW,0.27,97,0.896907,0.580924,0
feature_logreg,target_phone,AY,vowel,AY,0.44,298,0.926174,0.585201,0
feature_logreg,target_phone,B,stop,B,0.67,239,0.979079,0.565095,0
feature_logreg,target_phone,CH,affricate,CH,0.17,62,1.0,1.0,1
feature_logreg,target_phone,D,stop,D,0.28,552,0.947464,0.579207,0
feature_logreg,target_phone,DH,fricative,DH,0.29,440,0.661364,0.649304,0
feature_logreg,target_phone,EH,vowel,EH,0.2,352,0.903409,0.555426,0
feature_logreg,target_phone,ER,vowel,ER,0.16,259,0.934363,0.509184,0
feature_logreg,target_phone,EY,vowel,EY,0.27,253,0.916996,0.565665,0
feature_logreg,target_phone,F,fricative,F,0.05,266,0.988722,0.497164,0
feature_logreg,target_phone,G,stop,G,0.7,167,0.976048,0.615798,0
feature_logreg,target_phone,HH,fricative,HH,0.05,321,0.996885,0.49922,0
feature_logreg,target_phone,IH,vowel,IH,0.43,839,0.887962,0.539481,0
feature_logreg,target_phone,IY,vowel,IY,0.5,566,0.95053,0.538748,0
feature_logreg,target_phone,JH,affricate,JH,0.17,56,0.946429,0.647799,0
feature_logreg,target_phone,K,stop,K,0.05,382,0.981675,0.495376,0
feature_logreg,target_phone,L,liquid,L,0.34,543,0.841621,0.595505,0
feature_logreg,target_phone,M,nasal,M,0.56,445,0.964045,0.497905,0
feature_logreg,target_phone,N,nasal,N,0.43,901,0.902331,0.561885,0
feature_logreg,target_phone,NG,nasal,NG,0.33,156,0.929487,0.49993,0
feature_logreg,target_phone,OW,vowel,OW,0.05,244,0.971311,0.492723,0
feature_logreg,target_phone,OY,vowel,OY,0.33,15,0.933333,0.482759,1
feature_logreg,target_phone,P,stop,P,0.63,196,0.959184,0.518428,0
feature_logreg,target_phone,R,liquid,R,0.24,459,0.949891,0.522046,0
feature_logreg,target_phone,S,fricative,S,0.05,568,0.984155,0.496007,0
feature_logreg,target_phone,SH,fricative,SH,0.05,112,0.973214,0.493213,0
