rank,split,model,calibration,n_samples,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp,source_file
1,dev,teacher_score_rule,teacher_score_threshold,8788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,419,0,0,8369,reports\teacher_score_rule_metrics.csv
2,dev,fusion_random_forest,fusion_global_threshold,8788,0.995676,0.993195,0.99952,0.995937,0.976973,0.924276,0.990453,0.956221,0.999357,415,4,34,8335,reports\fusion_model_metrics.csv
3,dev,fusion_logreg,fusion_global_threshold,8788,0.966431,0.935899,0.994973,0.96965,0.850732,0.598101,0.902148,0.719315,0.982171,378,41,254,8115,reports\fusion_model_metrics.csv
4,dev,ssl_phone_logreg,ssl_global_threshold,8788,0.895767,0.641477,0.966454,0.922571,0.595975,0.188986,0.360382,0.247947,0.786344,151,268,648,7721,reports\ssl_phone_classifier_metrics.csv
5,dev,feature_random_forest,global_threshold,8788,0.522531,0.607616,0.971739,0.513562,0.397446,0.067354,0.701671,0.12291,0.636208,294,125,4071,4298,reports\feature_baseline_metrics.csv
6,dev,feature_logreg,global_threshold,8788,0.650888,0.593391,0.965408,0.656948,0.454139,0.071775,0.529833,0.126424,0.631684,222,197,2871,5498,reports\feature_baseline_metrics.csv
7,dev,feature_logreg,target_phone_threshold,8788,0.883477,0.579479,0.960271,0.915522,0.551743,0.126082,0.243437,0.166124,0.631684,102,317,707,7662,reports\proxy_gop_metrics.csv
8,dev,feature_logreg,phone_group_threshold,8788,0.870619,0.574995,0.959934,0.90178,0.542298,0.112311,0.24821,0.154647,0.631684,104,315,822,7547,reports\proxy_gop_metrics.csv
9,dev,enhanced_hist_gradient_boosting,enhanced_global_threshold,8788,0.876878,0.57488,0.959864,0.908711,0.545454,0.116763,0.24105,0.157321,0.670641,101,318,764,7605,reports\enhanced_model_metrics.csv
10,dev,feature_random_forest,target_phone_threshold,8788,0.905894,0.567444,0.958871,0.94157,0.556972,0.142105,0.193317,0.163802,0.636209,81,338,489,7880,reports\proxy_gop_metrics.csv
11,dev,enhanced_extra_trees,enhanced_global_threshold,8788,0.909422,0.563628,0.95847,0.945872,0.556233,0.143667,0.181384,0.160338,0.74971,76,343,453,7916,reports\enhanced_model_metrics.csv
12,dev,feature_random_forest,phone_group_threshold,8788,0.876764,0.561218,0.95847,0.910025,0.537389,0.105701,0.212411,0.141158,0.636209,89,330,753,7616,reports\proxy_gop_metrics.csv
13,dev,acoustic_gop_phone_nb,phone_group_threshold,8788,0.18878,0.557079,0.988189,0.149958,0.181101,0.053738,0.9642,0.101802,0.576725,404,15,7114,1255,reports\acoustic_gop_metrics.csv
14,dev,acoustic_gop_phone_nb,target_phone_threshold,8788,0.18878,0.557079,0.988189,0.149958,0.181101,0.053738,0.9642,0.101802,0.576725,404,15,7114,1255,reports\acoustic_gop_metrics.csv
15,dev,majority_class,majority_class,8788,0.952321,0.5,0.952321,1.0,0.487789,0.0,0.0,0.0,0.5,0,419,0,8369,reports\majority_baseline_metrics.csv
1,test,teacher_score_rule,teacher_score_threshold,45471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,0,43650,reports\teacher_score_rule_metrics.csv
2,test,ssl_phone_logreg,ssl_global_threshold,45471,0.91069,0.606427,0.968764,0.937182,0.575467,0.154747,0.275673,0.198223,0.7382,502,1319,2742,40908,reports\ssl_phone_classifier_metrics.csv
3,test,feature_random_forest,global_threshold,45471,0.513118,0.604845,0.976181,0.505132,0.384813,0.056065,0.704558,0.103866,0.645927,1283,538,21601,22049,reports\feature_baseline_metrics.csv
4,test,enhanced_extra_trees,enhanced_global_threshold,45471,0.886411,0.583783,0.967062,0.912761,0.545717,0.108614,0.254805,0.152306,0.673511,464,1357,3808,39842,reports\enhanced_model_metrics.csv
5,test,feature_logreg,global_threshold,45471,0.643839,0.582945,0.969878,0.649141,0.440925,0.057886,0.516749,0.10411,0.623729,941,880,15315,28335,reports\feature_baseline_metrics.csv
6,test,enhanced_hist_gradient_boosting,enhanced_global_threshold,45471,0.837875,0.572711,0.96649,0.860962,0.516948,0.07864,0.284459,0.123216,0.678104,518,1303,6069,37581,reports\enhanced_model_metrics.csv
7,test,feature_random_forest,phone_group_threshold,45471,0.877988,0.55782,0.964885,0.905865,0.527742,0.085059,0.209775,0.121039,0.645927,382,1439,4109,39541,reports\proxy_gop_metrics.csv
8,test,fusion_logreg,fusion_global_threshold,45471,0.896747,0.544436,0.963651,0.927423,0.528245,0.084922,0.16145,0.1113,0.596452,294,1527,3168,40482,reports\fusion_model_metrics.csv
9,test,acoustic_gop_phone_nb,phone_group_threshold,45471,0.169559,0.539829,0.982784,0.13732,0.162142,0.043584,0.942339,0.083315,0.564236,1716,105,37656,5994,reports\acoustic_gop_metrics.csv
10,test,acoustic_gop_phone_nb,target_phone_threshold,45471,0.169559,0.539829,0.982784,0.13732,0.162142,0.043584,0.942339,0.083315,0.564236,1716,105,37656,5994,reports\acoustic_gop_metrics.csv
11,test,feature_random_forest,target_phone_threshold,45471,0.903807,0.538641,0.963139,0.935601,0.527346,0.084066,0.14168,0.105521,0.645927,258,1563,2811,40839,reports\proxy_gop_metrics.csv
12,test,feature_logreg,phone_group_threshold,45471,0.867102,0.538468,0.963266,0.895716,0.513364,0.067595,0.181219,0.098463,0.623729,330,1491,4552,39098,reports\proxy_gop_metrics.csv
13,test,feature_logreg,target_phone_threshold,45471,0.875635,0.522389,0.961855,0.906392,0.507566,0.058091,0.138386,0.081831,0.623729,252,1569,4086,39564,reports\proxy_gop_metrics.csv
14,test,fusion_random_forest,fusion_global_threshold,45471,0.959952,0.5,0.959952,1.0,0.489784,0.0,0.0,0.0,0.754886,0,1821,0,43650,reports\fusion_model_metrics.csv
15,test,majority_class,majority_class,45471,0.959952,0.5,0.959952,1.0,0.489784,0.0,0.0,0.0,0.5,0,1821,0,43650,reports\majority_baseline_metrics.csv
