model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
feature_logreg,phone_group,affricate,affricate,,0.05,61,0.983607,0.495868,0
feature_logreg,phone_group,fricative,fricative,,0.31,1477,0.966148,0.569338,0
feature_logreg,phone_group,glide,glide,,0.47,438,0.974886,0.590654,0
feature_logreg,phone_group,liquid,liquid,,0.32,601,0.955075,0.58113,0
feature_logreg,phone_group,nasal,nasal,,0.37,983,0.960326,0.528928,0
feature_logreg,phone_group,stop,stop,,0.49,1676,0.961814,0.516043,0
feature_logreg,phone_group,vowel,vowel,,0.35,3552,0.936092,0.530111,0
feature_logreg,target_phone,AA,vowel,AA,0.51,92,0.934783,0.483726,0
feature_logreg,target_phone,AE,vowel,AE,0.44,265,0.935849,0.6025,0
feature_logreg,target_phone,AH,vowel,AH,0.36,827,0.949214,0.536106,0
feature_logreg,target_phone,AO,vowel,AO,0.33,142,0.908451,0.584947,0
feature_logreg,target_phone,AW,vowel,AW,0.37,57,0.912281,0.604167,0
feature_logreg,target_phone,AY,vowel,AY,0.33,203,0.935961,0.526684,0
feature_logreg,target_phone,B,stop,B,0.73,155,0.980645,0.586667,0
feature_logreg,target_phone,CH,affricate,CH,0.05,25,1.0,1.0,1
feature_logreg,target_phone,D,stop,D,0.41,314,0.952229,0.524092,0
feature_logreg,target_phone,DH,fricative,DH,0.59,294,0.962585,0.528317,0
feature_logreg,target_phone,EH,vowel,EH,0.27,225,0.897778,0.517751,0
feature_logreg,target_phone,ER,vowel,ER,0.27,130,0.907692,0.553665,0
feature_logreg,target_phone,EY,vowel,EY,0.2,169,0.91716,0.574843,0
feature_logreg,target_phone,F,fricative,F,0.49,156,0.980769,0.746753,0
feature_logreg,target_phone,G,stop,G,0.82,121,0.975207,0.495533,0
feature_logreg,target_phone,HH,fricative,HH,0.05,178,0.994382,0.498592,0
feature_logreg,target_phone,IH,vowel,IH,0.37,538,0.927509,0.560224,0
feature_logreg,target_phone,IY,vowel,IY,0.35,360,0.952778,0.5395,0
feature_logreg,target_phone,JH,affricate,JH,0.5,36,0.972222,0.535484,0
feature_logreg,target_phone,K,stop,K,0.65,252,0.972222,0.508403,0
feature_logreg,target_phone,L,liquid,L,0.36,347,0.965418,0.520497,0
feature_logreg,target_phone,M,nasal,M,0.4,295,0.966102,0.545735,0
feature_logreg,target_phone,N,nasal,N,0.43,586,0.960751,0.51164,0
feature_logreg,target_phone,NG,nasal,NG,0.27,102,0.941176,0.512545,0
feature_logreg,target_phone,OW,vowel,OW,0.05,166,0.963855,0.490798,0
feature_logreg,target_phone,OY,vowel,OY,0.35,8,0.875,0.384615,1
feature_logreg,target_phone,P,stop,P,0.55,101,0.930693,0.609536,0
feature_logreg,target_phone,R,liquid,R,0.3,254,0.940945,0.597288,0
feature_logreg,target_phone,S,fricative,S,0.05,376,0.981383,0.495302,0
feature_logreg,target_phone,SH,fricative,SH,0.4,48,0.9375,0.48642,0
feature_logreg,target_phone,T,stop,T,0.5,733,0.960437,0.518857,0
feature_logreg,target_phone,TH,fricative,TH,0.23,52,0.846154,0.5125,0
feature_logreg,target_phone,UH,vowel,UH,0.25,99,0.89899,0.645161,0
feature_logreg,target_phone,UW,vowel,UW,0.5,271,0.96679,0.512765,0
feature_logreg,target_phone,V,fricative,V,0.05,142,0.971831,0.492857,0
feature_logreg,target_phone,W,glide,W,0.47,311,0.967846,0.592825,0
feature_logreg,target_phone,Y,glide,Y,0.05,127,0.992126,0.498024,0
feature_logreg,target_phone,Z,fricative,Z,0.43,231,0.943723,0.534413,0
feature_random_forest,phone_group,affricate,affricate,,0.05,61,0.983607,0.495868,0
feature_random_forest,phone_group,fricative,fricative,,0.33,1477,0.966148,0.559843,0
feature_random_forest,phone_group,glide,glide,,0.25,438,0.974886,0.626945,0
feature_random_forest,phone_group,liquid,liquid,,0.26,601,0.955075,0.565202,0
feature_random_forest,phone_group,nasal,nasal,,0.36,983,0.960326,0.539519,0
feature_random_forest,phone_group,stop,stop,,0.55,1676,0.961814,0.514283,0
feature_random_forest,phone_group,vowel,vowel,,0.43,3552,0.936092,0.522047,0
feature_random_forest,target_phone,AA,vowel,AA,0.05,92,0.934783,0.483146,0
feature_random_forest,target_phone,AE,vowel,AE,0.43,265,0.935849,0.560009,0
feature_random_forest,target_phone,AH,vowel,AH,0.31,827,0.949214,0.519065,0
feature_random_forest,target_phone,AO,vowel,AO,0.43,142,0.908451,0.534426,0
feature_random_forest,target_phone,AW,vowel,AW,0.46,57,0.912281,0.674286,0
feature_random_forest,target_phone,AY,vowel,AY,0.38,203,0.935961,0.547976,0
feature_random_forest,target_phone,B,stop,B,0.05,155,0.980645,0.495114,0
feature_random_forest,target_phone,CH,affricate,CH,0.05,25,1.0,1.0,1
feature_random_forest,target_phone,D,stop,D,0.05,314,0.952229,0.487765,0
feature_random_forest,target_phone,DH,fricative,DH,0.61,294,0.962585,0.538462,0
feature_random_forest,target_phone,EH,vowel,EH,0.36,225,0.897778,0.520597,0
feature_random_forest,target_phone,ER,vowel,ER,0.33,130,0.907692,0.501096,0
feature_random_forest,target_phone,EY,vowel,EY,0.33,169,0.91716,0.569731,0
feature_random_forest,target_phone,F,fricative,F,0.05,156,0.980769,0.495146,0
feature_random_forest,target_phone,G,stop,G,0.05,121,0.975207,0.493724,0
feature_random_forest,target_phone,HH,fricative,HH,0.05,178,0.994382,0.498592,0
feature_random_forest,target_phone,IH,vowel,IH,0.4,538,0.927509,0.565172,0
feature_random_forest,target_phone,IY,vowel,IY,0.34,360,0.952778,0.547826,0
feature_random_forest,target_phone,JH,affricate,JH,0.05,36,0.972222,0.492958,0
feature_random_forest,target_phone,K,stop,K,0.62,252,0.972222,0.543423,0
feature_random_forest,target_phone,L,liquid,L,0.38,347,0.965418,0.553411,0
feature_random_forest,target_phone,M,nasal,M,0.05,295,0.966102,0.491379,0
feature_random_forest,target_phone,N,nasal,N,0.37,586,0.960751,0.530449,0
feature_random_forest,target_phone,NG,nasal,NG,0.24,102,0.941176,0.684536,0
feature_random_forest,target_phone,OW,vowel,OW,0.05,166,0.963855,0.490798,0
feature_random_forest,target_phone,OY,vowel,OY,0.43,8,0.875,0.466667,1
feature_random_forest,target_phone,P,stop,P,0.6,101,0.930693,0.592976,0
feature_random_forest,target_phone,R,liquid,R,0.26,254,0.940945,0.600331,0
feature_random_forest,target_phone,S,fricative,S,0.46,376,0.981383,0.505559,0
feature_random_forest,target_phone,SH,fricative,SH,0.39,48,0.9375,0.683516,0
feature_random_forest,target_phone,T,stop,T,0.55,733,0.960437,0.517952,0
feature_random_forest,target_phone,TH,fricative,TH,0.33,52,0.846154,0.504762,0
feature_random_forest,target_phone,UH,vowel,UH,0.47,99,0.89899,0.56894,0
feature_random_forest,target_phone,UW,vowel,UW,0.42,271,0.96679,0.584674,0
feature_random_forest,target_phone,V,fricative,V,0.05,142,0.971831,0.492857,0
feature_random_forest,target_phone,W,glide,W,0.52,311,0.967846,0.638745,0
feature_random_forest,target_phone,Y,glide,Y,0.05,127,0.992126,0.498024,0
feature_random_forest,target_phone,Z,fricative,Z,0.28,231,0.943723,0.664111,0
