model,threshold_level,threshold_key,phone_group,target_phone,threshold,dev_n_samples,dev_positive_rate,dev_balanced_accuracy,fallback_used
ssl_phone_logreg,phone_group,affricate,affricate,,0.05,61,0.983607,0.495868,0
ssl_phone_logreg,phone_group,fricative,fricative,,0.22,1477,0.966148,0.566882,0
ssl_phone_logreg,phone_group,glide,glide,,0.15,438,0.974886,0.643258,0
ssl_phone_logreg,phone_group,liquid,liquid,,0.15,601,0.955075,0.587407,0
ssl_phone_logreg,phone_group,nasal,nasal,,0.14,983,0.960326,0.585057,0
ssl_phone_logreg,phone_group,stop,stop,,0.23,1676,0.961814,0.605785,0
ssl_phone_logreg,phone_group,vowel,vowel,,0.23,3552,0.936092,0.610783,0
ssl_phone_logreg,target_phone,AA,vowel,AA,0.34,92,0.934783,0.613445,0
ssl_phone_logreg,target_phone,AE,vowel,AE,0.16,265,0.935849,0.617605,0
ssl_phone_logreg,target_phone,AH,vowel,AH,0.06,827,0.949214,0.593652,0
ssl_phone_logreg,target_phone,AO,vowel,AO,0.1,142,0.908451,0.704372,0
ssl_phone_logreg,target_phone,AW,vowel,AW,0.22,57,0.912281,0.670139,0
ssl_phone_logreg,target_phone,AY,vowel,AY,0.51,203,0.935961,0.631961,0
ssl_phone_logreg,target_phone,B,stop,B,0.18,155,0.980645,0.604592,0
ssl_phone_logreg,target_phone,CH,affricate,CH,0.05,25,1.0,1.0,1
ssl_phone_logreg,target_phone,D,stop,D,0.37,314,0.952229,0.609622,0
ssl_phone_logreg,target_phone,DH,fricative,DH,0.33,294,0.962585,0.595627,0
ssl_phone_logreg,target_phone,EH,vowel,EH,0.13,225,0.897778,0.602447,0
ssl_phone_logreg,target_phone,ER,vowel,ER,0.16,130,0.907692,0.652406,0
ssl_phone_logreg,target_phone,EY,vowel,EY,0.12,169,0.91716,0.577349,0
ssl_phone_logreg,target_phone,F,fricative,F,0.17,156,0.980769,0.743421,0
ssl_phone_logreg,target_phone,G,stop,G,0.33,121,0.975207,0.736957,0
ssl_phone_logreg,target_phone,HH,fricative,HH,0.05,178,0.994382,0.494318,0
ssl_phone_logreg,target_phone,IH,vowel,IH,0.14,538,0.927509,0.651569,0
ssl_phone_logreg,target_phone,IY,vowel,IY,0.24,360,0.952778,0.654545,0
ssl_phone_logreg,target_phone,JH,affricate,JH,0.69,36,0.972222,0.5,0
ssl_phone_logreg,target_phone,K,stop,K,0.07,252,0.972222,0.632653,0
ssl_phone_logreg,target_phone,L,liquid,L,0.4,347,0.965418,0.589742,0
ssl_phone_logreg,target_phone,M,nasal,M,0.11,295,0.966102,0.546684,0
ssl_phone_logreg,target_phone,N,nasal,N,0.14,586,0.960751,0.608312,0
ssl_phone_logreg,target_phone,NG,nasal,NG,0.09,102,0.941176,0.593162,0
ssl_phone_logreg,target_phone,OW,vowel,OW,0.18,166,0.963855,0.680769,0
ssl_phone_logreg,target_phone,OY,vowel,OY,0.23,8,0.875,0.466667,1
ssl_phone_logreg,target_phone,P,stop,P,0.12,101,0.930693,0.684375,0
ssl_phone_logreg,target_phone,R,liquid,R,0.21,254,0.940945,0.647116,0
ssl_phone_logreg,target_phone,S,fricative,S,0.19,376,0.981383,0.554854,0
ssl_phone_logreg,target_phone,SH,fricative,SH,0.75,48,0.9375,0.5,0
ssl_phone_logreg,target_phone,T,stop,T,0.22,733,0.960437,0.620238,0
ssl_phone_logreg,target_phone,TH,fricative,TH,0.69,52,0.846154,0.605063,0
ssl_phone_logreg,target_phone,UH,vowel,UH,0.23,99,0.89899,0.75042,0
ssl_phone_logreg,target_phone,UW,vowel,UW,0.06,271,0.96679,0.64534,0
ssl_phone_logreg,target_phone,V,fricative,V,0.3,142,0.971831,0.593302,0
ssl_phone_logreg,target_phone,W,glide,W,0.15,311,0.967846,0.653289,0
ssl_phone_logreg,target_phone,Y,glide,Y,0.05,127,0.992126,0.496032,0
ssl_phone_logreg,target_phone,Z,fricative,Z,0.22,231,0.943723,0.713636,0
